tweet_id,text,created_at,user_id,user_name,user_description,followers_count,verified
815474142510219265,We're getting reports of an overturned vehicle on the #A2 eastbound between the #A2018 and #M25 near #Dartford which is blocking the road.,2017-01-01T08:26:01.000Z,224657803,National Highways: South-East,"OFFICIAL FEED. Live traffic info on England’s motorways + major A roads. 
🆘 In an emergency: phone 999 
General enquiry: phone our contact centre 0300 123 5000",105713,False
815474157861224448,M25 J6 anti-clockwise exit | Anti-Clockwise | Accident,2017-01-01T08:26:04.000Z,20979719,South East Traffic News,Latest traffic news in the South East UK.,10952,False
815474496975081472,#M25 anticlockwise lane closed on exit slip road due to accident at J6 A22 / B2235 #Godstone. #HeartNews https://t.co/ReD8shWZRu,2017-01-01T08:27:25.000Z,2427482071,Sussex News,We’ve moved. You can still find the latest news for Sussex & Surrey here @HeartSouthNews.,4975,False
815474497201573888,#M25 anticlockwise lane closed on exit slip road due to accident at J6 A22 / B2235 #Godstone. #HeartNews https://t.co/gPoaNlaOZI,2017-01-01T08:27:25.000Z,2437119674,Kent News,We’ve moved. You can still find the latest news for Kent here @HeartSouthNews.,3306,False
815475419189284864,"Travel #Dartford
#A2 coastbound blocked, due to overturned vehicle A2018 Dartford Heath and #M25 J2 Darenth Interchange #HeartNews",2017-01-01T08:31:05.000Z,2437119674,Kent News,We’ve moved. You can still find the latest news for Kent here @HeartSouthNews.,3306,False
815475449962921984,One lane is closed on the #M25 anticlockwise J6 exit slip due to an incident. Please approach with caution. Thx 2 HW England,2017-01-01T08:31:12.000Z,4122209764,trafficjamnetwork,Account has been set up to allow people to share their traffic jam or congestion info all from one feed.,1909,False
815475452076761088,M25 J6 anti-clockwise exit | Accident https://t.co/3yzAQMEgUb Thx 2 HW England,2017-01-01T08:31:13.000Z,4122209764,trafficjamnetwork,Account has been set up to allow people to share their traffic jam or congestion info all from one feed.,1909,False
815475454819770368,We're getting reports of an overturned vehicle on the #A2 eastbound between the #A2018 and #M25 near #Dartford which is blocking the road. …,2017-01-01T08:31:13.000Z,4122209764,trafficjamnetwork,Account has been set up to allow people to share their traffic jam or congestion info all from one feed.,1909,False
815475537409781760,A2 eastbound between A2018 and M25/A282 | Overturned Vehicle https://t.co/RIewLP4QNM,2017-01-01T08:31:33.000Z,224657803,National Highways: South-East,"OFFICIAL FEED. Live traffic info on England’s motorways + major A roads. 
🆘 In an emergency: phone 999 
General enquiry: phone our contact centre 0300 123 5000",105713,False
815475676644081664,Severe Disruption: Eastbound between Old Bexley Lane and J2 #Kent #Traffic #A2018 #M25,2017-01-01T08:32:06.000Z,733088438031949825,Traffic,,366,False
815475922878894080,A2 eastbound between A2018 and M25/A282 | Eastbound | Overturned Vehicle,2017-01-01T08:33:05.000Z,20979719,South East Traffic News,Latest traffic news in the South East UK.,10952,False
