,10,10,10,tweet_id,text,created_at,user_id,user_name,user_description,followers_count,verified,cause
0,61,61.0,145.0,8.157449168023798e+17,#M25 clockwise between J12 and J13 | Clockwise | Road Works | Windsor and Maidenhead https://t.co/82gdKmGx61 #uktraffic,2017-01-02T02:21:58.000Z,2859372700.0,UK Traffic Delays,Traffic and #travel reports for the UK's major roads. London jam cams UK motorway roadworks. London bicycle hire. Tweets by Malcolm #uktraffic #trafficdelays,3945.0,0.0,work
0,333,333.0,597.0,8.163874368760668e+17,Our traffic officers are on scene and recovery is en route for the collision on the #M25 clockwise between J25 - J2… …,2017-01-03T20:55:07.000Z,4122209764.0,trafficjamnetwork,Account has been set up to allow people to share their traffic jam or congestion info all from one feed.,1909.0,0.0,officer collision
0,556,562.0,981.0,8.169813300890911e+17,#M25 clockwise between J12 and J13 - Congestion - Full details at https://t.co/l5EmoAw0RN,2017-01-05T12:15:02.000Z,797685578.0,Live Traffic - M25,Live #M25 traffic information updated every 5 minutes by @MotorwayCameras - SEE the traffic live CCTV images @ http://t.co/xQQta8vJRK,54500.0,0.0,conges full
0,557,563.0,982.0,8.169813315277455e+17,#M25 clockwise between J12 and J13 - Congestion - Full details at https://t.co/LwI3prBa31,2017-01-05T12:15:02.000Z,2203877580.0,Traffic - All M'ways,Live #traffic news and information from every UK #motorway! Now updated every 5 minutes by @MotorwayCameras - SEE the traffic @ http://t.co/WFCp3NaSjI,2600.0,0.0,conges full
0,567,573.0,992.0,8.16981411701719e+17,M25 clockwise between J12 and J13 | Clockwise | Congestion https://t.co/uXgww8xjnq,2017-01-05T12:15:21.000Z,544501743.0,Parability,"HELPING A HUMAN RACE - 
Increasing each others abilities and access to opportunities",232.0,0.0,conges
0,575,581.0,1001.0,8.169844298642268e+17,M25 clockwise between J12 and J13 | Congestion https://t.co/32xCYc2KgO,2017-01-05T12:27:21.000Z,224657803.0,National Highways: South-East,"OFFICIAL FEED. Live traffic info on England’s motorways + major A roads. 
🆘 In an emergency: phone 999 
General enquiry: phone our contact centre 0300 123 5000",105713.0,0.0,conges
0,578,584.0,1006.0,8.169854389426258e+17,M25 clockwise between J12 and J13 | Congestion https://t.co/9hmbzL2b4l Thx 2 HW England,2017-01-05T12:31:22.000Z,4122209764.0,trafficjamnetwork,Account has been set up to allow people to share their traffic jam or congestion info all from one feed.,1909.0,0.0,conges
0,1395,1405.0,2423.0,8.195818841329172e+17,"#M25 long delays clockwise between J10, Wisley Interchange and J16 M40",2017-01-12T16:28:42.000Z,387584807.0,Radio Jackie Travel,Tweeting you information on the roads and rails between 7am and 9pm. For the very latest info please stay tuned to 107.8 Radio Jackie on the air and online,6087.0,0.0,delay
0,1401,1411.0,2435.0,8.195857535544934e+17,#M25 - MEDIUM - Surrey Clockwise - Congestion - Between J10 for A3 Surrey and J16 for M40 Fulmer,2017-01-12T16:44:05.000Z,8.11607645018792e+17,UK Motorways Traffic,This is traffic updates of all motorways in the uk 🇬🇧! I'm available every day between 6:30AM - 20:00PM on weekdays and weekends 7AM to 19PM,568.0,0.0,conges
0,1466,1476.0,2537.0,8.196004901493473e+17,#M25 - MEDIUM - Surrey Clockwise - Congestion - Between J10 for A3 Surrey and J20 for A41 Hinton Bridge,2017-01-12T17:42:38.000Z,8.11607645018792e+17,UK Motorways Traffic,This is traffic updates of all motorways in the uk 🇬🇧! I'm available every day between 6:30AM - 20:00PM on weekdays and weekends 7AM to 19PM,568.0,0.0,conges
