,10,10,10,tweet_id,text,created_at,user_id,user_name,user_description,followers_count,verified,cause
0,885,892.0,1519.0,8.174245121993933e+17,#M25 anti-clockwise between J24 and J23 - Congestion - Full details at https://t.co/l5EmoAw0RN,2017-01-06T17:36:05.000Z,797685578.0,Live Traffic - M25,Live #M25 traffic information updated every 5 minutes by @MotorwayCameras - SEE the traffic live CCTV images @ http://t.co/xQQta8vJRK,54500.0,0.0,conges full
0,886,893.0,1520.0,8.174245134744617e+17,#M25 anti-clockwise between J24 and J23 - Congestion - Full details at https://t.co/LwI3prBa31,2017-01-06T17:36:05.000Z,2203877580.0,Traffic - All M'ways,Live #traffic news and information from every UK #motorway! Now updated every 5 minutes by @MotorwayCameras - SEE the traffic @ http://t.co/WFCp3NaSjI,2600.0,0.0,conges full
0,887,894.0,1521.0,8.174252678827622e+17,#M25 anti-clockwise between J24 and J23 | Congestion https://t.co/o3fCs7GpMF,2017-01-06T17:39:05.000Z,224662544.0,National Highways: East,"OFFICIAL FEED. Live traffic info on England’s motorways + major A roads. 
🆘 In an emergency: phone 999 
General enquiry: phone our contact centre 0300 123 5000",61664.0,0.0,conges
0,888,895.0,1522.0,8.174253793884283e+17,#M25 anti-clockwise between J24 and J23 | Congestion https://t.co/5aBapXajoy Thx 2 HW England,2017-01-06T17:39:32.000Z,4122209764.0,trafficjamnetwork,Account has been set up to allow people to share their traffic jam or congestion info all from one feed.,1909.0,0.0,conges
0,1319,1329.0,2234.0,8.194683328646636e+17,"M25 : Queueing traffic anticlockwise between J25, Enfield and J24, Potters Bar - after problems earlier at J23",2017-01-12T08:57:30.000Z,20258343.0,5 live Travel,"BBC Radio 5 live's travel team with national travel updates for the UK.
Listen online via http://t.co/DMJqiz8E",3795.0,0.0,queu problem
0,2183,2193.0,3814.0,8.208884933165711e+17,#M25 - MINOR - Hertfordshire Anti-Clockwise - Congestion - Between J24 for A111 Hertfordshire and J23 for A1 South Mimms,2017-01-16T07:00:42.000Z,8.11607645018792e+17,UK Motorways Traffic,This is traffic updates of all motorways in the uk 🇬🇧! I'm available every day between 6:30AM - 20:00PM on weekdays and weekends 7AM to 19PM,568.0,0.0,conges
0,2289,2299.0,3976.0,8.209887437462897e+17,#M25 anti-clockwise between J24 and J23 - Congestion - Full details at https://t.co/l5EmoAw0RN,2017-01-16T13:39:04.000Z,797685578.0,Live Traffic - M25,Live #M25 traffic information updated every 5 minutes by @MotorwayCameras - SEE the traffic live CCTV images @ http://t.co/xQQta8vJRK,54500.0,0.0,conges full
0,2290,2300.0,3977.0,8.2098874472772e+17,#M25 anti-clockwise between J24 and J23 - Congestion - Full details at https://t.co/LwI3prBa31,2017-01-16T13:39:04.000Z,2203877580.0,Traffic - All M'ways,Live #traffic news and information from every UK #motorway! Now updated every 5 minutes by @MotorwayCameras - SEE the traffic @ http://t.co/WFCp3NaSjI,2600.0,0.0,conges full
0,2431,2441.0,4215.0,8.212509599973335e+17,#M25 - MINOR - Hertfordshire Anti-Clockwise - Congestion - Between J24 for A111 Hertfordshire and J23 for A1 South Mimms,2017-01-17T07:01:01.000Z,8.11607645018792e+17,UK Motorways Traffic,This is traffic updates of all motorways in the uk 🇬🇧! I'm available every day between 6:30AM - 20:00PM on weekdays and weekends 7AM to 19PM,568.0,0.0,conges
0,2828,2838.0,4832.0,8.217021972472955e+17,M25 anti-clockwise between J24 and J23 | Accident https://t.co/RDiIRea6rt,2017-01-18T12:54:04.000Z,224662544.0,National Highways: East,"OFFICIAL FEED. Live traffic info on England’s motorways + major A roads. 
🆘 In an emergency: phone 999 
General enquiry: phone our contact centre 0300 123 5000",61664.0,0.0,accident
