,10,10,10,tweet_id,text,created_at,user_id,user_name,user_description,followers_count,verified,cause
0,1265,1275.0,2170.0,8.194496142355661e+17,#M25 - MINOR - Surrey Clockwise - Congestion - Between Clacket Lane Services Surrey and J6 for A22 Godstone,2017-01-12T07:43:07.000Z,8.11607645018792e+17,UK Motorways Traffic,This is traffic updates of all motorways in the uk 🇬🇧! I'm available every day between 6:30AM - 20:00PM on weekdays and weekends 7AM to 19PM,568.0,0.0,conges
0,1709,1719.0,3007.0,8.19806134454227e+17,#M25 - MINOR - Surrey Clockwise - Congestion - Between Clacket Lane Services Surrey and J6 for A22 Surrey,2017-01-13T07:19:48.000Z,8.11607645018792e+17,UK Motorways Traffic,This is traffic updates of all motorways in the uk 🇬🇧! I'm available every day between 6:30AM - 20:00PM on weekdays and weekends 7AM to 19PM,568.0,0.0,conges
0,2265,2275.0,3933.0,8.209430071763354e+17,TRAVEL: if you're heading from #Kent to Surrey there's one lane closed on the #M25 clockwise between Clacket Lane Services and J6 (Godstone) https://t.co/kCJgtrmy7A,2017-01-16T10:37:19.000Z,288993240.0,kmfm News,"The latest Kent headlines from the kmfm news team.
Email: news@thekmgroup.co.uk
Listen: https://t.co/DcAT33l4Pu",21269.0,1.0,clos
0,2426,2436.0,4209.0,8.212499012711219e+17,#M25 - MINOR - Surrey Clockwise - Congestion - Between Clacket Lane Services Surrey and J6 for A22 Surrey,2017-01-17T06:56:49.000Z,8.11607645018792e+17,UK Motorways Traffic,This is traffic updates of all motorways in the uk 🇬🇧! I'm available every day between 6:30AM - 20:00PM on weekdays and weekends 7AM to 19PM,568.0,0.0,conges
0,4206,4218.0,7169.0,8.237852988658852e+17,#M25 - MINOR - Surrey Clockwise - Congestion - Between Clacket Lane Services Surrey and J6 for A22 Surrey,2017-01-24T06:51:35.000Z,8.11607645018792e+17,UK Motorways Traffic,This is traffic updates of all motorways in the uk 🇬🇧! I'm available every day between 6:30AM - 20:00PM on weekdays and weekends 7AM to 19PM,568.0,0.0,conges
0,4632,4648.0,7782.0,8.241487089253294e+17,#M25 - MINOR - Surrey Clockwise - Congestion - Between Clacket Lane Services Surrey and J6 for A22 Surrey,2017-01-25T06:55:38.000Z,8.11607645018792e+17,UK Motorways Traffic,This is traffic updates of all motorways in the uk 🇬🇧! I'm available every day between 6:30AM - 20:00PM on weekdays and weekends 7AM to 19PM,568.0,0.0,conges
0,4935,4953.0,8267.0,8.245058292315218e+17,#M25 - MINOR - Surrey Clockwise - Congestion - Between Clacket Lane Services Surrey and J6 for A22 Surrey,2017-01-26T06:34:42.000Z,8.11607645018792e+17,UK Motorways Traffic,This is traffic updates of all motorways in the uk 🇬🇧! I'm available every day between 6:30AM - 20:00PM on weekdays and weekends 7AM to 19PM,568.0,0.0,conges
0,5054,5073.0,8533.0,8.2487469263684e+17,"TRAFFIC: Heavy traffic on M25 clockwise between Clacket Lane Services and J6 A22 (Godstone).
https://t.co/x1BIacUlIh https://t.co/8bcBA27pjB",2017-01-27T07:00:26.000Z,16745046.0,SurreyLive,News traffic and travel weather features and much more from SurreyLive Surrey Advertiser & Surrey Mirror. Like our Facebook page https://t.co/VLdvRjxmX2,170199.0,1.0,heavy
0,5060,5079.0,8542.0,8.248857589640479e+17,"M25 : Earlier broken down vehicle clockwise between Clacket Lane Services and J6, Godstone, heavy traffic",2017-01-27T07:44:25.000Z,156564954.0,Susy Radio,Local radio station for Redhill Reigate East Surrey and North Sussex.,2964.0,0.0,broken heavy down
0,5061,5080.0,8544.0,8.248867659493663e+17,"M25 : Earlier broken down vehicle clockwise between Clacket Lane Services and J6, Godstone",2017-01-27T07:48:25.000Z,156564954.0,Susy Radio,Local radio station for Redhill Reigate East Surrey and North Sussex.,2964.0,0.0,broken down
0,5563,5583.0,9401.0,8.259537369630597e+17,TRAFFIC: Slow traffic on M25 clockwise between Clacket Lane Services and J6 A22 (Godstone). https://t.co/eoQv4W8ha5 https://t.co/4tw5dQZCCL,2017-01-30T06:28:11.000Z,16745046.0,SurreyLive,News traffic and travel weather features and much more from SurreyLive Surrey Advertiser & Surrey Mirror. Like our Facebook page https://t.co/VLdvRjxmX2,170199.0,1.0,slow
0,5775,5796.0,9764.0,8.263170523989402e+17,#M25 - MINOR - Surrey Clockwise - Congestion - Between Clacket Lane Services Surrey and J6 for A22 Surrey,2017-01-31T06:31:52.000Z,8.11607645018792e+17,UK Motorways Traffic,This is traffic updates of all motorways in the uk 🇬🇧! I'm available every day between 6:30AM - 20:00PM on weekdays and weekends 7AM to 19PM,568.0,0.0,conges
0,5785,5806.0,9778.0,8.263235349348598e+17,TRAVEL: M25 blocked clockwise between Clacket Lane services and J6 to recover the broken down vehicle,2017-01-31T06:57:37.000Z,67332739.0,BBC Radio Surrey,Tune in to BBC Radio Surrey across  #Surrey & NE #Hampshire on 104/104.6FM/ Online/ DAB/ Freeview 722/ Smart phone & speaker.,60807.0,1.0,broken down block
0,5786,5807.0,9779.0,8.263235349893857e+17,TRAVEL: M25 blocked clockwise between Clacket Lane services and J6 to recover the broken down vehicle,2017-01-31T06:57:37.000Z,362375284.0,BBC Radio Surrey Travel,Official travel news feed for #Surrey from @BBCSurrey: BBC Radio Surrey 104/104.6FM Digital Online and Freeview 722 with Surrey County Council and partners.,40778.0,0.0,broken down block
