,10,10,10,tweet_id,text,created_at,user_id,user_name,user_description,followers_count,verified,cause
0,360,360.0,642.0,8.164678569383772e+17,#M25 anti-clockwise between J22 and J21A | Anti-Clockwise | Road Works | Hertfordshire https://t.co/m9NLWYUHiY #east #uktraffic,2017-01-04T02:14:40.000Z,2859372700.0,UK Traffic Delays,Traffic and #travel reports for the UK's major roads. London jam cams UK motorway roadworks. London bicycle hire. Tweets by Malcolm #uktraffic #trafficdelays,3945.0,0.0,work
0,1093,1101.0,1894.0,8.191614381703455e+17,#M25 J22 anti-clockwise exit - Lane 1 clsd due to a collision btwn a HGV and a car.  @HertsPolice on scene. No delays due to this.,2017-01-11T12:38:00.000Z,224662544.0,National Highways: East,"OFFICIAL FEED. Live traffic info on England’s motorways + major A roads. 
🆘 In an emergency: phone 999 
General enquiry: phone our contact centre 0300 123 5000",61664.0,0.0,collision delay
0,1094,1102.0,1895.0,8.191623802445783e+17,#M25 J22 anti-clockwise exit - Lane 1 clsd due to a collision btwn a HGV and a car.  HertsPolice on scene. No delays due to this. Thx 2 HW …,2017-01-11T12:41:45.000Z,4122209764.0,trafficjamnetwork,Account has been set up to allow people to share their traffic jam or congestion info all from one feed.,1909.0,0.0,collision delay
0,1449,1459.0,2508.0,8.19595864394072e+17,#M25 anti-clockwise between J22 and J21A - Congestion - Full details at https://t.co/l5EmoAw0RN,2017-01-12T17:24:16.000Z,797685578.0,Live Traffic - M25,Live #M25 traffic information updated every 5 minutes by @MotorwayCameras - SEE the traffic live CCTV images @ http://t.co/xQQta8vJRK,54500.0,0.0,conges full
0,2608,2618.0,4502.0,8.214108008290796e+17,#M25 anti-clockwise between J22 and J21A - Congestion - Full details at https://t.co/l5EmoAw0RN,2017-01-17T17:36:10.000Z,797685578.0,Live Traffic - M25,Live #M25 traffic information updated every 5 minutes by @MotorwayCameras - SEE the traffic live CCTV images @ http://t.co/xQQta8vJRK,54500.0,0.0,conges full
0,2609,2619.0,4503.0,8.214108036602307e+17,#M25 anti-clockwise between J22 and J21A - Congestion - Full details at https://t.co/LwI3prBa31,2017-01-17T17:36:11.000Z,2203877580.0,Traffic - All M'ways,Live #traffic news and information from every UK #motorway! Now updated every 5 minutes by @MotorwayCameras - SEE the traffic @ http://t.co/WFCp3NaSjI,2600.0,0.0,conges full
0,2675,2685.0,4612.0,8.215233203989381e+17,Eastern Traffic M25 anti-clockwise between J22 and J21A | Anti-Clockwise | Road Works https://t.co/4j45SrG85G Drive Safe All,2017-01-18T01:03:17.000Z,436707362.0,UK.HGV.DriverNetwork,The UK HGV Driver Network provides travel & traffic news weather alerts and job alerts 24/7. Follow us for up to date & relevant information,1618.0,0.0,work
0,3123,3133.0,5311.0,8.223317590733619e+17,#M25 anti-clockwise between J22 and J21A | Anti-Clockwise | Road Works | Hertfordshire https://t.co/m9NLWYUHiY #east #uktraffic,2017-01-20T06:35:44.000Z,2859372700.0,UK Traffic Delays,Traffic and #travel reports for the UK's major roads. London jam cams UK motorway roadworks. London bicycle hire. Tweets by Malcolm #uktraffic #trafficdelays,3945.0,0.0,work
0,3610,3620.0,6202.0,8.226875620871414e+17,#M25 anti-clockwise between J22 and J21A | Anti-Clockwise | Road Works | Hertfordshire https://t.co/3bYXR8zBkC #east #uktraffic,2017-01-21T06:09:34.000Z,2859372700.0,UK Traffic Delays,Traffic and #travel reports for the UK's major roads. London jam cams UK motorway roadworks. London bicycle hire. Tweets by Malcolm #uktraffic #trafficdelays,3945.0,0.0,work
0,4673,4689.0,7837.0,8.241755431176315e+17,#M25 anti-clockwise between J22 and J21A - Congestion - Full details at https://t.co/l5EmoAw0RN,2017-01-25T08:42:16.000Z,797685578.0,Live Traffic - M25,Live #M25 traffic information updated every 5 minutes by @MotorwayCameras - SEE the traffic live CCTV images @ http://t.co/xQQta8vJRK,54500.0,0.0,conges full
0,5098,5117.0,8587.0,8.249035806833418e+17,Eastern Traffic M25 anti-clockwise between J22 and J21A | Anti-Clockwise | Road Works https://t.co/YPuc97peMg Drive Safe All,2017-01-27T08:55:14.000Z,436707362.0,UK.HGV.DriverNetwork,The UK HGV Driver Network provides travel & traffic news weather alerts and job alerts 24/7. Follow us for up to date & relevant information,1618.0,0.0,work
0,5309,5328.0,8934.0,8.252425347923313e+17,#M25 anti-clockwise between J22 and J21A | Anti-Clockwise | Road Works | Hertfordshire https://t.co/m9NLWYUHiY #east #uktraffic,2017-01-28T07:22:07.000Z,2859372700.0,UK Traffic Delays,Traffic and #travel reports for the UK's major roads. London jam cams UK motorway roadworks. London bicycle hire. Tweets by Malcolm #uktraffic #trafficdelays,3945.0,0.0,work
