,Unnamed: 0,Unnamed: 0.1,tweet_id,text,created_at,user_id,user_name,user_description,followers_count,verified
0,0.0,1.0,8.154741578612244e+17,M25 J6 anti-clockwise exit | Anti-Clockwise | Accident,2017-01-01T08:26:04.000Z,20979719.0,South East Traffic News,Latest traffic news in the South East UK.,10952.0,0.0
1,1.0,2.0,8.154744969750815e+17,#M25 anticlockwise lane closed on exit slip road due to accident at J6 A22 / B2235 #Godstone. #HeartNews https://t.co/ReD8shWZRu,2017-01-01T08:27:25.000Z,2427482071.0,Sussex News,We’ve moved. You can still find the latest news for Sussex & Surrey here @HeartSouthNews.,4975.0,0.0
2,2.0,3.0,8.154744972015739e+17,#M25 anticlockwise lane closed on exit slip road due to accident at J6 A22 / B2235 #Godstone. #HeartNews https://t.co/gPoaNlaOZI,2017-01-01T08:27:25.000Z,2437119674.0,Kent News,We’ve moved. You can still find the latest news for Kent here @HeartSouthNews.,3306.0,0.0
4,4.0,5.0,8.15475449962922e+17,One lane is closed on the #M25 anticlockwise J6 exit slip due to an incident. Please approach with caution. Thx 2 HW England,2017-01-01T08:31:12.000Z,4122209764.0,trafficjamnetwork,Account has been set up to allow people to share their traffic jam or congestion info all from one feed.,1909.0,0.0
5,5.0,6.0,8.154754520767611e+17,M25 J6 anti-clockwise exit | Accident https://t.co/3yzAQMEgUb Thx 2 HW England,2017-01-01T08:31:13.000Z,4122209764.0,trafficjamnetwork,Account has been set up to allow people to share their traffic jam or congestion info all from one feed.,1909.0,0.0
7,7.0,12.0,8.154759259743273e+17,M25 J6 anti-clockwise exit | Anti-Clockwise | Accident https://t.co/GmIY421nd4,2017-01-01T08:33:06.000Z,544501743.0,Parability,"HELPING A HUMAN RACE - 
Increasing each others abilities and access to opportunities",232.0,0.0
16,16.0,46.0,8.154982211539067e+17,Recovery is now complete and all lanes have now reopened on the #M25 anticlockwise J6 exit slip. Thanks for your patience.,2017-01-01T10:01:41.000Z,224657803.0,National Highways: South-East,"OFFICIAL FEED. Live traffic info on England’s motorways + major A roads. 
🆘 In an emergency: phone 999 
General enquiry: phone our contact centre 0300 123 5000",105713.0,0.0
19,19.0,54.0,8.15500646250152e+17,Recovery is now complete and all lanes have now reopened on the #M25 anticlockwise J6 exit slip. Thanks for your patience. Thx 2 HW England,2017-01-01T10:11:19.000Z,4122209764.0,trafficjamnetwork,Account has been set up to allow people to share their traffic jam or congestion info all from one feed.,1909.0,0.0
20,20.0,69.0,8.155615871090729e+17,#M25 anti-clockwise between J6 and J5 | Anti-Clockwise | Road Works | Surrey https://t.co/BeYng4qWYF #uktraffic,2017-01-01T14:13:29.000Z,2859372700.0,UK Traffic Delays,Traffic and #travel reports for the UK's major roads. London jam cams UK motorway roadworks. London bicycle hire. Tweets by Malcolm #uktraffic #trafficdelays,3945.0,0.0
21,21.0,70.0,8.155691735228252e+17,#M25 clockwise between J16 and J17 | Clockwise | Road Works | Buckinghamshire https://t.co/fl8QGUC6jd #east #uktraffic,2017-01-01T14:43:38.000Z,2859372700.0,UK Traffic Delays,Traffic and #travel reports for the UK's major roads. London jam cams UK motorway roadworks. London bicycle hire. Tweets by Malcolm #uktraffic #trafficdelays,3945.0,0.0
22,22.0,72.0,8.155733093415035e+17,#M25 clockwise within J27 after M11 J6 northbound access - Congestion - Full details at https://t.co/l5EmoAw0RN,2017-01-01T15:00:04.000Z,797685578.0,Live Traffic - M25,Live #M25 traffic information updated every 5 minutes by @MotorwayCameras - SEE the traffic live CCTV images @ http://t.co/xQQta8vJRK,54500.0,0.0
23,23.0,73.0,8.155733104362455e+17,#M25 clockwise within J27 after M11 J6 northbound access - Congestion - Full details at https://t.co/LwI3prBa31,2017-01-01T15:00:04.000Z,2203877580.0,Traffic - All M'ways,Live #traffic news and information from every UK #motorway! Now updated every 5 minutes by @MotorwayCameras - SEE the traffic @ http://t.co/WFCp3NaSjI,2600.0,0.0
24,24.0,74.0,8.155744397859922e+17,#M25 clockwise within J27 after M11 J6 northbound access | Congestion https://t.co/0kMJUBRmxG,2017-01-01T15:04:33.000Z,224662544.0,National Highways: East,"OFFICIAL FEED. Live traffic info on England’s motorways + major A roads. 
🆘 In an emergency: phone 999 
General enquiry: phone our contact centre 0300 123 5000",61664.0,0.0
25,25.0,75.0,8.155751869091062e+17,#M25 clockwise within J27 after M11 J6 northbound access | Congestion https://t.co/l3A4RTFakJ Thx 2 HW England,2017-01-01T15:07:31.000Z,4122209764.0,trafficjamnetwork,Account has been set up to allow people to share their traffic jam or congestion info all from one feed.,1909.0,0.0
30,30.0,84.0,8.155915499793695e+17,M25 anti-clockwise between J10 and J9 | Anti-Clockwise | Flooding,2017-01-01T16:12:33.000Z,20979719.0,South East Traffic News,Latest traffic news in the South East UK.,10952.0,0.0
31,31.0,85.0,8.155915503946097e+17,M25 anti-clockwise between J10 and J9 | Anti-Clockwise | Flooding https://t.co/pTh3UcnYA7,2017-01-01T16:12:33.000Z,544501743.0,Parability,"HELPING A HUMAN RACE - 
Increasing each others abilities and access to opportunities",232.0,0.0
32,32.0,86.0,8.155921772628869e+17,#M25 anti-clockwise between J10 and J9 - Flooding - Full details at https://t.co/l5EmoAw0RN,2017-01-01T16:15:02.000Z,797685578.0,Live Traffic - M25,Live #M25 traffic information updated every 5 minutes by @MotorwayCameras - SEE the traffic live CCTV images @ http://t.co/xQQta8vJRK,54500.0,0.0
33,33.0,87.0,8.155921786091684e+17,#M25 anti-clockwise between J10 and J9 - Flooding - Full details at https://t.co/LwI3prBa31,2017-01-01T16:15:03.000Z,2203877580.0,Traffic - All M'ways,Live #traffic news and information from every UK #motorway! Now updated every 5 minutes by @MotorwayCameras - SEE the traffic @ http://t.co/WFCp3NaSjI,2600.0,0.0
34,34.0,88.0,8.155931853301514e+17,M25 anti-clockwise between J10 and J9 | Flooding https://t.co/sMgUfuQzuz,2017-01-01T16:19:03.000Z,224657803.0,National Highways: South-East,"OFFICIAL FEED. Live traffic info on England’s motorways + major A roads. 
🆘 In an emergency: phone 999 
General enquiry: phone our contact centre 0300 123 5000",105713.0,0.0
35,35.0,91.0,8.155937935588229e+17,M25 anti-clockwise between J10 and J9 | Flooding https://t.co/Lesoi15zaM Thx 2 HW England,2017-01-01T16:21:28.000Z,4122209764.0,trafficjamnetwork,Account has been set up to allow people to share their traffic jam or congestion info all from one feed.,1909.0,0.0
36,36.0,96.0,8.156022539647713e+17,M25 anti-clockwise between J10 and J9 | Anti-Clockwise | Congestion,2017-01-01T16:55:05.000Z,20979719.0,South East Traffic News,Latest traffic news in the South East UK.,10952.0,0.0
37,37.0,97.0,8.156027449208668e+17,#M25 anti-clockwise between J10 and J9 - Congestion - Full details at https://t.co/l5EmoAw0RN,2017-01-01T16:57:02.000Z,797685578.0,Live Traffic - M25,Live #M25 traffic information updated every 5 minutes by @MotorwayCameras - SEE the traffic live CCTV images @ http://t.co/xQQta8vJRK,54500.0,0.0
38,38.0,98.0,8.156027464600863e+17,#M25 anti-clockwise between J10 and J9 - Congestion - Full details at https://t.co/LwI3prBa31,2017-01-01T16:57:02.000Z,2203877580.0,Traffic - All M'ways,Live #traffic news and information from every UK #motorway! Now updated every 5 minutes by @MotorwayCameras - SEE the traffic @ http://t.co/WFCp3NaSjI,2600.0,0.0
39,39.0,99.0,8.156089171745464e+17,#방탄소년단 #love #GOT7M25 anti-clockwise between J9 and J8 | Anti-Clockwise | Road Works https://t.co/shfrwI4eo2 #travel #traveling,2017-01-01T17:21:33.000Z,471002654.0,Travel,,12.0,0.0
40,40.0,100.0,8.156089257686876e+17,#방탄소년단 #love #GOT7M25 anti-clockwise between J10 and J9 | Anti-Clockwise | Flooding https://t.co/IJmAOuamNk #travel #traveling,2017-01-01T17:21:35.000Z,471002654.0,Travel,,12.0,0.0
41,41.0,105.0,8.156229623385252e+17,#M25 clockwise between J16 and J17 | Clockwise | Road Works | Buckinghamshire https://t.co/lBoLK2IREY #east #uktraffic,2017-01-01T18:17:22.000Z,2859372700.0,UK Traffic Delays,Traffic and #travel reports for the UK's major roads. London jam cams UK motorway roadworks. London bicycle hire. Tweets by Malcolm #uktraffic #trafficdelays,3945.0,0.0
43,43.0,111.0,8.156450356223427e+17,#방탄소년단 #love #GOT7M25 clockwise between J14 and J15 | Clockwise | Road Works https://t.co/uaZyWzEX4p #travel #traveling,2017-01-01T19:45:05.000Z,471002654.0,Travel,,12.0,0.0
44,44.0,115.0,8.156654170416701e+17,#M25 Surrey: Clockwise at J9 #Leatherhead the outside lane is blocked after an accident. Fi,2017-01-01T21:06:04.000Z,22595388.0,BBC Radio London Travel,The original traffic & travel tweet service for London from the BBC. Broadcasts on @BBCRadioLondon and updates on @BBCLondonNews,142155.0,1.0
45,45.0,117.0,8.156659198001439e+17,M25 clockwise between J8 and J9 | Clockwise | Accident,2017-01-01T21:08:04.000Z,20979719.0,South East Traffic News,Latest traffic news in the South East UK.,10952.0,0.0
46,46.0,118.0,8.156661620422902e+17,#M25 clockwise between J8 and J9 - Accident - Full details at https://t.co/l5EmoAw0RN,2017-01-01T21:09:02.000Z,797685578.0,Live Traffic - M25,Live #M25 traffic information updated every 5 minutes by @MotorwayCameras - SEE the traffic live CCTV images @ http://t.co/xQQta8vJRK,54500.0,0.0
47,47.0,119.0,8.156661638710231e+17,#M25 clockwise between J8 and J9 - Accident - Full details at https://t.co/LwI3prBa31,2017-01-01T21:09:02.000Z,2203877580.0,Traffic - All M'ways,Live #traffic news and information from every UK #motorway! Now updated every 5 minutes by @MotorwayCameras - SEE the traffic @ http://t.co/WFCp3NaSjI,2600.0,0.0
48,48.0,120.0,8.156661786558095e+17,M25 clockwise between J8 and J9 | Accident https://t.co/At4kJasUnT,2017-01-01T21:09:05.000Z,224657803.0,National Highways: South-East,"OFFICIAL FEED. Live traffic info on England’s motorways + major A roads. 
🆘 In an emergency: phone 999 
General enquiry: phone our contact centre 0300 123 5000",105713.0,0.0
49,49.0,123.0,8.156678024932024e+17,M25 clockwise between J8 and J9 | Clockwise | Accident https://t.co/zv2YgXn1ht,2017-01-01T21:15:33.000Z,544501743.0,Parability,"HELPING A HUMAN RACE - 
Increasing each others abilities and access to opportunities",232.0,0.0
50,50.0,124.0,8.15668012367958e+17,M25 clockwise between J8 and J9 | Accident https://t.co/JGmYPkgDzr Thx 2 HW England,2017-01-01T21:16:23.000Z,4122209764.0,trafficjamnetwork,Account has been set up to allow people to share their traffic jam or congestion info all from one feed.,1909.0,0.0
51,51.0,125.0,8.156685421210542e+17,#M25 clockwise within J10 | Clockwise | Road Works | Surrey https://t.co/fDFdjZF5iP #uktraffic,2017-01-01T21:18:29.000Z,2859372700.0,UK Traffic Delays,Traffic and #travel reports for the UK's major roads. London jam cams UK motorway roadworks. London bicycle hire. Tweets by Malcolm #uktraffic #trafficdelays,3945.0,0.0
52,52.0,127.0,8.156723799302676e+17,M25 clockwise between J8 and J9 | Clockwise | Accident | Surrey https://t.co/Q3XCNxwiwj #breakingnews #uktraffic,2017-01-01T21:33:44.000Z,2859372700.0,UK Traffic Delays,Traffic and #travel reports for the UK's major roads. London jam cams UK motorway roadworks. London bicycle hire. Tweets by Malcolm #uktraffic #trafficdelays,3945.0,0.0
53,53.0,130.0,8.156797586796995e+17,#방탄소년단 #love #GOT7M25 clockwise between J8 and J9 | Clockwise | Accident https://t.co/M96qmwmXwB #travel #traveling,2017-01-01T22:03:03.000Z,471002654.0,Travel,,12.0,0.0
54,54.0,133.0,8.157065970119516e+17,#M25 clockwise within J10 | Clockwise | Road Works | Surrey https://t.co/yMcuvZlmjf #uktraffic,2017-01-01T23:49:42.000Z,2859372700.0,UK Traffic Delays,Traffic and #travel reports for the UK's major roads. London jam cams UK motorway roadworks. London bicycle hire. Tweets by Malcolm #uktraffic #trafficdelays,3945.0,0.0
57,57.0,137.0,8.157135693251256e+17,M25 westbound between (Heathrow) T5 and J14 | Anti-Clockwise | Congestion https://t.co/Ue7k5AIUMp,2017-01-02T00:17:24.000Z,3294220550.0,Naira Connect,Naira Connect is one of the world's largest online search engine for cheap flights and hotels worldwide. It's also a travel community,181.0,0.0
58,58.0,139.0,8.157290839547863e+17,M25 clockwise between J10 and J11 | Clockwise | Road Works,2017-01-02T01:19:03.000Z,20979719.0,South East Traffic News,Latest traffic news in the South East UK.,10952.0,0.0
59,59.0,140.0,8.157320093895516e+17,South East Traffic M25 clockwise between J10 and J11 | Clockwise | Road Works https://t.co/90dGX2LJIX Drive Safe All,2017-01-02T01:30:41.000Z,436707362.0,UK.HGV.DriverNetwork,The UK HGV Driver Network provides travel & traffic news weather alerts and job alerts 24/7. Follow us for up to date & relevant information,1618.0,0.0
60,60.0,141.0,8.157342385908122e+17,M25 clockwise between J10 and J11 | Clockwise | Road Works https://t.co/21GDJ2o1Jn,2017-01-02T01:39:32.000Z,544501743.0,Parability,"HELPING A HUMAN RACE - 
Increasing each others abilities and access to opportunities",232.0,0.0
61,61.0,145.0,8.157449168023798e+17,#M25 clockwise between J12 and J13 | Clockwise | Road Works | Windsor and Maidenhead https://t.co/82gdKmGx61 #uktraffic,2017-01-02T02:21:58.000Z,2859372700.0,UK Traffic Delays,Traffic and #travel reports for the UK's major roads. London jam cams UK motorway roadworks. London bicycle hire. Tweets by Malcolm #uktraffic #trafficdelays,3945.0,0.0
62,62.0,146.0,8.15751247378559e+17,#방탄소년단 #love #GOT7M25 clockwise between J10 and J11 | Clockwise | Road Works https://t.co/BQ9lnPkAin #travel #traveling,2017-01-02T02:47:07.000Z,471002654.0,Travel,,12.0,0.0
63,63.0,151.0,8.15779216910336e+17,#M25 clockwise between J10 and J11 | Clockwise | Road Works | Surrey https://t.co/jbHn3njYqD #uktraffic,2017-01-02T04:38:16.000Z,2859372700.0,UK Traffic Delays,Traffic and #travel reports for the UK's major roads. London jam cams UK motorway roadworks. London bicycle hire. Tweets by Malcolm #uktraffic #trafficdelays,3945.0,0.0
64,64.0,158.0,8.158386822969467e+17,#방탄소년단 #love #GOT7M25 clockwise between J15 and J16 | Clockwise | Road Works https://t.co/ZhhOO7VUij #travel #traveling,2017-01-02T08:34:34.000Z,471002654.0,Travel,,12.0,0.0
65,65.0,159.0,8.158407692233933e+17,"B3228 : Broken down vehicle anticlockwise between Swanscombe and M25 J31, two lanes closed",2017-01-02T08:42:51.000Z,52749097.0,kmfm,📻 Kent's Radio Station. Wake up with Garry and Claire on Breakfast and drive home with Rob Wills.,27971.0,1.0
66,66.0,161.0,8.158457141442314e+17,B3228 : Broken down vehicle removed anticlockwise between Swanscombe and M25 J31,2017-01-02T09:02:30.000Z,20258343.0,5 live Travel,"BBC Radio 5 live's travel team with national travel updates for the UK.
Listen online via http://t.co/DMJqiz8E",3795.0,0.0
67,67.0,172.0,8.15882241859584e+17,Traffic is temporarily stopped on #M25 clockwise between J15 and J16 while @HighwaysEAST deal with a collision. Please bear with us.,2017-01-02T11:27:39.000Z,224657803.0,National Highways: South-East,"OFFICIAL FEED. Live traffic info on England’s motorways + major A roads. 
🆘 In an emergency: phone 999 
General enquiry: phone our contact centre 0300 123 5000",105713.0,0.0
68,68.0,173.0,8.158822418679767e+17,Traffic is temporarily stopped on #M25 clockwise between J15 and J16 while @HighwaysEAST deal with a collision. Please bear with us.,2017-01-02T11:27:39.000Z,224662544.0,National Highways: East,"OFFICIAL FEED. Live traffic info on England’s motorways + major A roads. 
🆘 In an emergency: phone 999 
General enquiry: phone our contact centre 0300 123 5000",61664.0,0.0
69,69.0,178.0,8.158831486220001e+17,Traffic is temporarily stopped on #M25 clockwise between J15 and J16 while HighwaysEAST deal with a collision. Please bear with us. Thx 2 H…,2017-01-02T11:31:15.000Z,4122209764.0,trafficjamnetwork,Account has been set up to allow people to share their traffic jam or congestion info all from one feed.,1909.0,0.0
74,74.0,183.0,8.158851146390528e+17,#M25 clockwise between J15 and J16 - Congestion - Full details at https://t.co/l5EmoAw0RN,2017-01-02T11:39:04.000Z,797685578.0,Live Traffic - M25,Live #M25 traffic information updated every 5 minutes by @MotorwayCameras - SEE the traffic live CCTV images @ http://t.co/xQQta8vJRK,54500.0,0.0
75,75.0,186.0,8.158870068824064e+17,#M25 clockwise within J15 | Congestion https://t.co/q1Pl2HaDxF,2017-01-02T11:46:35.000Z,224662544.0,National Highways: East,"OFFICIAL FEED. Live traffic info on England’s motorways + major A roads. 
🆘 In an emergency: phone 999 
General enquiry: phone our contact centre 0300 123 5000",61664.0,0.0
76,76.0,187.0,8.158871374469612e+17,#M25 clockwise within J15 | Congestion https://t.co/V1kE4GPcCB Thx 2 HW England,2017-01-02T11:47:06.000Z,4122209764.0,trafficjamnetwork,Account has been set up to allow people to share their traffic jam or congestion info all from one feed.,1909.0,0.0
77,77.0,188.0,8.158881448937021e+17,#M25 clockwise within J15 - Congestion - Full details at https://t.co/LwI3prBa31,2017-01-02T11:51:06.000Z,2203877580.0,Traffic - All M'ways,Live #traffic news and information from every UK #motorway! Now updated every 5 minutes by @MotorwayCameras - SEE the traffic @ http://t.co/WFCp3NaSjI,2600.0,0.0
78,78.0,192.0,8.15891906399912e+17,#방탄소년단 #love #GOT7M25 clockwise within J15 | Clockwise | Congestion https://t.co/fffaemcxEB #travel #traveling,2017-01-02T12:06:03.000Z,471002654.0,Travel,,12.0,0.0
80,80.0,194.0,8.158920296327168e+17,M25 clockwise within J14 | Clockwise | Congestion,2017-01-02T12:06:33.000Z,20979719.0,South East Traffic News,Latest traffic news in the South East UK.,10952.0,0.0
81,81.0,196.0,8.15892660653355e+17,#M25 clockwise within J14 - Congestion - Full details at https://t.co/LwI3prBa31,2017-01-02T12:09:03.000Z,2203877580.0,Traffic - All M'ways,Live #traffic news and information from every UK #motorway! Now updated every 5 minutes by @MotorwayCameras - SEE the traffic @ http://t.co/WFCp3NaSjI,2600.0,0.0
82,82.0,200.0,8.15895065797292e+17,Queues on M25 clockwise between J14 A3113 (Heathrow) and J16 M40 after an earlier accident. #BOBTravel https://t.co/bWj7JlRqYH,2017-01-02T12:18:36.000Z,19181210.0,Hertfordshire,This account is no longer active - please follow @HeartHerts on 106.7 and 106.9fm and @HeartNewsEast for Hertfordshire’s News and Travel updates,12137.0,0.0
83,83.0,201.0,8.158957047533363e+17,#M25 J2 clockwise exit - Congestion - Full details at https://t.co/l5EmoAw0RN,2017-01-02T12:21:09.000Z,797685578.0,Live Traffic - M25,Live #M25 traffic information updated every 5 minutes by @MotorwayCameras - SEE the traffic live CCTV images @ http://t.co/xQQta8vJRK,54500.0,0.0
84,84.0,202.0,8.158957057599939e+17,#M25 J2 clockwise exit - Congestion - Full details at https://t.co/LwI3prBa31,2017-01-02T12:21:09.000Z,2203877580.0,Traffic - All M'ways,Live #traffic news and information from every UK #motorway! Now updated every 5 minutes by @MotorwayCameras - SEE the traffic @ http://t.co/WFCp3NaSjI,2600.0,0.0
85,85.0,203.0,8.1589644706526e+17,M25 J2 clockwise exit | Clockwise | Congestion,2017-01-02T12:24:06.000Z,20979719.0,South East Traffic News,Latest traffic news in the South East UK.,10952.0,0.0
86,86.0,204.0,8.158964496280248e+17,connector at M25 J2/A2/A282 | Anti-Clockwise | Congestion,2017-01-02T12:24:06.000Z,20979719.0,South East Traffic News,Latest traffic news in the South East UK.,10952.0,0.0
87,87.0,206.0,8.15897218062422e+17,#M25 clockwise between J13 and J14 - Congestion - Full details at https://t.co/l5EmoAw0RN,2017-01-02T12:27:10.000Z,797685578.0,Live Traffic - M25,Live #M25 traffic information updated every 5 minutes by @MotorwayCameras - SEE the traffic live CCTV images @ http://t.co/xQQta8vJRK,54500.0,0.0
88,88.0,208.0,8.158979865552527e+17,#M25 J2 clockwise exit - Congestion - Full details at https://t.co/l5EmoANBJl,2017-01-02T12:30:13.000Z,797685578.0,Live Traffic - M25,Live #M25 traffic information updated every 5 minutes by @MotorwayCameras - SEE the traffic live CCTV images @ http://t.co/xQQta8vJRK,54500.0,0.0
89,89.0,209.0,8.158984521355551e+17,connector at M25 J2/A2/A282 | Anti-Clockwise | Congestion https://t.co/Eis1Sry5KS,2017-01-02T12:32:04.000Z,544501743.0,Parability,"HELPING A HUMAN RACE - 
Increasing each others abilities and access to opportunities",232.0,0.0
90,90.0,210.0,8.15898457667797e+17,M25 J2 clockwise exit | Clockwise | Congestion https://t.co/3LJCByjWfP,2017-01-02T12:32:05.000Z,544501743.0,Parability,"HELPING A HUMAN RACE - 
Increasing each others abilities and access to opportunities",232.0,0.0
91,91.0,211.0,8.158984617069322e+17,M25 clockwise within J14 | Clockwise | Congestion https://t.co/gDXYzuivxg,2017-01-02T12:32:06.000Z,544501743.0,Parability,"HELPING A HUMAN RACE - 
Increasing each others abilities and access to opportunities",232.0,0.0
