,tweet_id,text,created_at,user_id,user_name,user_description,followers_count,verified,cause,class
0,8.161825212768256e+17,"#M25 heavy clockwise between J9, Leatherhead and J10, Wisley Interchange",2017-01-03T07:20:51.000Z,387584807.0,Radio Jackie Travel,Tweeting you information on the roads and rails between 7am and 9pm. For the very latest info please stay tuned to 107.8 Radio Jackie on the air and online,6087.0,0.0,heavy,1
0,8.161843140943053e+17,TRAVEL: M25 slowing generally between J9 and J12 clockwise. Particularly busy past J10 (A3).,2017-01-03T07:27:59.000Z,67332739.0,BBC Radio Surrey,Tune in to BBC Radio Surrey across  #Surrey & NE #Hampshire on 104/104.6FM/ Online/ DAB/ Freeview 722/ Smart phone & speaker.,60807.0,1.0,busy slow,1
0,8.161843141655962e+17,TRAVEL: M25 slowing generally between J9 and J12 clockwise. Particularly busy past J10 (A3).,2017-01-03T07:27:59.000Z,362375284.0,BBC Radio Surrey Travel,Official travel news feed for #Surrey from @BBCSurrey: BBC Radio Surrey 104/104.6FM Digital Online and Freeview 722 with Surrey County Council and partners.,40778.0,0.0,busy slow,1
0,8.161886233600532e+17,#M25 clockwise between J9 and J10 - Congestion - Full details at https://t.co/l5EmoAw0RN,2017-01-03T07:45:06.000Z,797685578.0,Live Traffic - M25,Live #M25 traffic information updated every 5 minutes by @MotorwayCameras - SEE the traffic live CCTV images @ http://t.co/xQQta8vJRK,54500.0,0.0,conges full,1
0,8.161886243917742e+17,#M25 clockwise between J9 and J10 - Congestion - Full details at https://t.co/LwI3prBa31,2017-01-03T07:45:06.000Z,2203877580.0,Traffic - All M'ways,Live #traffic news and information from every UK #motorway! Now updated every 5 minutes by @MotorwayCameras - SEE the traffic @ http://t.co/WFCp3NaSjI,2600.0,0.0,conges full,1
0,8.16190130004312e+17,#M25 clockwise at the Cobham services between J9 and J10 - Congestion - Full details at https://t.co/l5EmoAw0RN,2017-01-03T07:51:05.000Z,797685578.0,Live Traffic - M25,Live #M25 traffic information updated every 5 minutes by @MotorwayCameras - SEE the traffic live CCTV images @ http://t.co/xQQta8vJRK,54500.0,0.0,conges full,1
0,8.161901310822482e+17,#M25 clockwise at the Cobham services between J9 and J10 - Congestion - Full details at https://t.co/LwI3prBa31,2017-01-03T07:51:05.000Z,2203877580.0,Traffic - All M'ways,Live #traffic news and information from every UK #motorway! Now updated every 5 minutes by @MotorwayCameras - SEE the traffic @ http://t.co/WFCp3NaSjI,2600.0,0.0,conges full,1
0,8.16193399501951e+17,M25 clockwise between J9 and J10 | Clockwise | Congestion https://t.co/npJoHM0BJA,2017-01-03T08:04:05.000Z,544501743.0,Parability,"HELPING A HUMAN RACE - 
Increasing each others abilities and access to opportunities",232.0,0.0,conges,1
0,8.161936584792269e+17,M25 clockwise between J9 and J10 | Congestion https://t.co/nHgHlFV2lW,2017-01-03T08:05:06.000Z,224657803.0,National Highways: South-East,"OFFICIAL FEED. Live traffic info on England’s motorways + major A roads. 
🆘 In an emergency: phone 999 
General enquiry: phone our contact centre 0300 123 5000",105713.0,0.0,conges,1
0,8.16195484968747e+17,M25 clockwise between J9 and J10 | Congestion https://t.co/2BKhd3b6H7 Thx 2 HW England,2017-01-03T08:12:22.000Z,4122209764.0,trafficjamnetwork,Account has been set up to allow people to share their traffic jam or congestion info all from one feed.,1909.0,0.0,conges,1
