,tweet_id,text,created_at,user_id,user_name,user_description,followers_count,verified,cause,class
0,8.162744376998175e+17,M25 clockwise between J5 and J6 | Clockwise | Vehicle Obstruction,2017-01-03T13:26:06.000Z,20979719.0,South East Traffic News,Latest traffic news in the South East UK.,10952.0,0.0,obstruct,1
0,8.162746805164646e+17,M25 clockwise between J5 and J6 | Vehicle Obstruction https://t.co/dLiCmqj69L,2017-01-03T13:27:04.000Z,224657803.0,National Highways: South-East,"OFFICIAL FEED. Live traffic info on England’s motorways + major A roads. 
🆘 In an emergency: phone 999 
General enquiry: phone our contact centre 0300 123 5000",105713.0,0.0,obstruct,1
0,8.162754462664704e+17,#M25 clockwise between J5 and J6 - Vehicle Obstruction - Full details at https://t.co/l5EmoAw0RN,2017-01-03T13:30:06.000Z,797685578.0,Live Traffic - M25,Live #M25 traffic information updated every 5 minutes by @MotorwayCameras - SEE the traffic live CCTV images @ http://t.co/xQQta8vJRK,54500.0,0.0,obstruct full,1
0,8.162754472983593e+17,#M25 clockwise between J5 and J6 - Vehicle Obstruction - Full details at https://t.co/LwI3prBa31,2017-01-03T13:30:06.000Z,2203877580.0,Traffic - All M'ways,Live #traffic news and information from every UK #motorway! Now updated every 5 minutes by @MotorwayCameras - SEE the traffic @ http://t.co/WFCp3NaSjI,2600.0,0.0,obstruct full,1
0,8.162757279769846e+17,M25 clockwise between J5 and J6 | Vehicle Obstruction https://t.co/dNECijcgjP Thx 2 HW England,2017-01-03T13:31:13.000Z,4122209764.0,trafficjamnetwork,Account has been set up to allow people to share their traffic jam or congestion info all from one feed.,1909.0,0.0,obstruct,1
0,8.162792126507418e+17,M25 clockwise between J5 and J6 | Clockwise | Vehicle Obstruction https://t.co/9x4US5sDH3,2017-01-03T13:45:04.000Z,544501743.0,Parability,"HELPING A HUMAN RACE - 
Increasing each others abilities and access to opportunities",232.0,0.0,obstruct,1
0,8.162965763982131e+17,M25 clockwise between J5 and J6 | Broken down vehicle https://t.co/cKiqGaA030,2017-01-03T14:54:04.000Z,224657803.0,National Highways: South-East,"OFFICIAL FEED. Live traffic info on England’s motorways + major A roads. 
🆘 In an emergency: phone 999 
General enquiry: phone our contact centre 0300 123 5000",105713.0,0.0,down broken,1
0,8.16296585067987e+17,#M25 clockwise between J5 and J6 - Broken down vehicle - Full details at https://t.co/l5EmoAw0RN,2017-01-03T14:54:06.000Z,797685578.0,Live Traffic - M25,Live #M25 traffic information updated every 5 minutes by @MotorwayCameras - SEE the traffic live CCTV images @ http://t.co/xQQta8vJRK,54500.0,0.0,down broken full,1
0,8.162965862759178e+17,#M25 clockwise between J5 and J6 - Broken down vehicle - Full details at https://t.co/LwI3prBa31,2017-01-03T14:54:06.000Z,2203877580.0,Traffic - All M'ways,Live #traffic news and information from every UK #motorway! Now updated every 5 minutes by @MotorwayCameras - SEE the traffic @ http://t.co/WFCp3NaSjI,2600.0,0.0,down broken full,1
0,8.162970998978191e+17,M25 clockwise between J5 and J6 | Broken down vehicle https://t.co/xXJmNki4WP Thx 2 HW England,2017-01-03T14:56:09.000Z,4122209764.0,trafficjamnetwork,Account has been set up to allow people to share their traffic jam or congestion info all from one feed.,1909.0,0.0,down broken,1
0,8.162978310948127e+17,M25 clockwise between J5 and J6 | Clockwise | Broken down vehicle,2017-01-03T14:59:03.000Z,20979719.0,South East Traffic News,Latest traffic news in the South East UK.,10952.0,0.0,down broken,1
0,8.163049213224755e+17,M25 clockwise between J5 and J6 | Clockwise | Broken down vehicle https://t.co/rsD5ielyMU,2017-01-03T15:27:14.000Z,544501743.0,Parability,"HELPING A HUMAN RACE - 
Increasing each others abilities and access to opportunities",232.0,0.0,down broken,0
