,tweet_id,text,created_at,user_id,user_name,user_description,followers_count,verified,cause,class
0,8.252646516718387e+17,"#Traffic #update M25 clockwise between J23 and J24 | Clockwise | Vehicle Recovery https://t.co/c5v3hhzzYq January 28, 2017",2017-01-28T08:50:00.000Z,7.223857485241467e+17,UK TRAFFIC SOLUTIONS,,11.0,0.0,,1
0,8.252649180227215e+17,#M25 clockwise between J23 and J24 - Vehicle Recovery - Full details at https://t.co/l5EmoAw0RN,2017-01-28T08:51:03.000Z,797685578.0,Live Traffic - M25,Live #M25 traffic information updated every 5 minutes by @MotorwayCameras - SEE the traffic live CCTV images @ http://t.co/xQQta8vJRK,54500.0,0.0,full,1
0,8.252649190838927e+17,#M25 clockwise between J23 and J24 - Vehicle Recovery - Full details at https://t.co/LwI3prBa31,2017-01-28T08:51:04.000Z,2203877580.0,Traffic - All M'ways,Live #traffic news and information from every UK #motorway! Now updated every 5 minutes by @MotorwayCameras - SEE the traffic @ http://t.co/WFCp3NaSjI,2600.0,0.0,full,1
0,8.252654290356388e+17,M25 clockwise between J23 and J24 | Vehicle Recovery https://t.co/KT2TRPUFU4,2017-01-28T08:53:05.000Z,224662544.0,National Highways: East,"OFFICIAL FEED. Live traffic info on England’s motorways + major A roads. 
🆘 In an emergency: phone 999 
General enquiry: phone our contact centre 0300 123 5000",61664.0,0.0,,1
0,8.252663265120051e+17,M25 clockwise between J23 and J24 | Vehicle Recovery https://t.co/Jv6Geld8NA Thx 2 HW England,2017-01-28T08:56:39.000Z,4122209764.0,trafficjamnetwork,Account has been set up to allow people to share their traffic jam or congestion info all from one feed.,1909.0,0.0,,1
0,8.252709564949832e+17,#M25 clockwise between J23 and J24 - Vehicle Recovery - Full details at https://t.co/l5EmoANBJl,2017-01-28T09:15:03.000Z,797685578.0,Live Traffic - M25,Live #M25 traffic information updated every 5 minutes by @MotorwayCameras - SEE the traffic live CCTV images @ http://t.co/xQQta8vJRK,54500.0,0.0,full,1
0,8.252762666014065e+17,M25 clockwise between J23 and J24 | Clockwise | Vehicle Recovery #Transport https://t.co/cmgnPltEPJ,2017-01-28T09:36:09.000Z,2554490172.0,Transport News UK,Find your latest Transport news with just one click. Dont miss out on anything happening in your profession!,1144.0,0.0,,1
0,8.252835543178281e+17,M25 clockwise between J23 and J24 | Vehicle Recovery https://t.co/KT2TRQchiE,2017-01-28T10:05:07.000Z,224662544.0,National Highways: East,"OFFICIAL FEED. Live traffic info on England’s motorways + major A roads. 
🆘 In an emergency: phone 999 
General enquiry: phone our contact centre 0300 123 5000",61664.0,0.0,,1
0,8.252851063781417e+17,M25 clockwise between J23 and J24 | Vehicle Recovery https://t.co/Jv6Geld8NA Thx 2 HW England,2017-01-28T10:11:17.000Z,4122209764.0,trafficjamnetwork,Account has been set up to allow people to share their traffic jam or congestion info all from one feed.,1909.0,0.0,,1
0,8.252867616895754e+17,All lanes are clear following recovery of a broken down HGV on #M25 clockwise btwn J23 + J24 nr #PottersBar. Thanks for your patience,2017-01-28T10:17:51.000Z,224662544.0,National Highways: East,"OFFICIAL FEED. Live traffic info on England’s motorways + major A roads. 
🆘 In an emergency: phone 999 
General enquiry: phone our contact centre 0300 123 5000",61664.0,0.0,broken patience down,1
0,8.252867617524449e+17,All lanes are clear following recovery of a broken down HGV on #M25 clockwise btwn J23 + J24 nr #PottersBar. Thanks for your patience,2017-01-28T10:17:51.000Z,224657803.0,National Highways: South-East,"OFFICIAL FEED. Live traffic info on England’s motorways + major A roads. 
🆘 In an emergency: phone 999 
General enquiry: phone our contact centre 0300 123 5000",105713.0,0.0,broken patience down,1
0,8.252875896451359e+17,All lanes are clear following recovery of a broken down HGV on #M25 clockwise btwn J23 + J24 nr #PottersBar. Thanks for your patience Thx 2…,2017-01-28T10:21:09.000Z,4122209764.0,trafficjamnetwork,Account has been set up to allow people to share their traffic jam or congestion info all from one feed.,1909.0,0.0,broken patience down,1
